EAA, Experimental Aircraft Association
EDW, Enterprise Data Warehouse
EDX, Energy Dispersive X
EDY, Euro Dollar Yen
EDZ, Economic Development Zone
EEA, European Economic Area
EEB, Ecology and Evolutionary Biology
EEC, European Economic Community
EED, Electronic Evidence Discovery
EEE, Espace Economique Europeen
EEF, Engineering Endowment Fund
EEG, ElectroEncephaloGram
EEH, Explorations in Economic History
EEI, Ecology &amp; Environment, Incorporated
EEJ, Equity in Education Journal
EEK, Estonian Kroon
EEL, Enhanced Extended Link
EEM, Merrill Lynch &amp; Company, Inc.
EEN, Exceptional Educational Needs
EEO, Equal Employment Opportunity
EEP, Enhanced Parallel Port
EEQ, Evaluation of Effort and Quota
EER, Energy Efficiency Ratio
EES, Engineering Equation Solver
EET, Electronics Engineering Technology
EEU, Electronic Equipment Unit
EEV, Emergency Escape Vehicle
EEW, Epoxy Equivalent Weight (Also called WPE)
EEX, E E X Corporation
EEY, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EEZ, Exclusive Economic Zone
EFA, Education For All
EFB, Electronic Flight Bag
EFC, Expected Family Contribution
EFD, Event Forwarding Discriminator
EFE, Agencia Efe
EFF, Electronic Frontier Foundation
EFG, Electric Field Gradient
EFH, Energy Future Holdings
EFI, Electronic Fuel Injection
EFJ, European Federation of Journalists
EFK, Electronic Fly Killer
EFL, English as a First Language
EFM, Merrill Lynch &amp; Company, Inc.
EFN, External Financing Needs
EFO, Electronic Flame-Off
EFP, Electronic Field Production
EFQ, European Framework of Qualifications
EFR, Enhanced Full Rate
EFS, Encrypting File System
EFT, Electronic Funds Transfer
EFU, Eastern Enterprises
EFV, Efavirenz
EFW, Estimated Fetal Weight
EFX, Equifax, Inc.
EFY, Especially For Youth
EFZ, Eternal Fighter Zero
EGA, Enhanced Graphics Adapter
EGB, Educaci&oacute;n General B&aacute;sica
EGC, Bergerac, France
EGD, EsophagoGastroDuodenoscopy
EGE, Ethylene Glycol Ether
EGF, Epidermal Growth Factor
EGG, Empire Gaming Group
EGH, Elder of the Golden Heart
EGI, European Genealogy Initiative
EGJ, Electronic Green Journal
EGK, Euskadiko Gazteriaren Kontseilua
EGL, European Gemological Laboratory
EGM, Electronic Gaming Monthly
EGN, Energen Corporation
EGO, Exhaust Gas Oxygen
EGP, Egyptian Pound
EGQ, E-Government Quarterly
EGR, Exhaust Gas Recirculation
EGS, European Geophysical Society
EGT, Exhaust Gas Temperature
EGU, Endo Glucanase Units
EGV, Extended German Version
EGW, Equipment Ground Wire
EGX, Egegik, Alaska USA
EGY, Egyptian (Ancient)
EGZ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EHA, Electro Hydraulic Actuator
EHB, Extended Health Benefits
EHC, Electro-Hydraulic Control
EHD, Epizootic Hemorrhagic Disease
EHE, Equine Horse Elixir
EHF, Extremely High Frequency
EHG, El Huevo Gordo
EHH, Early Help Hounslow
EHI, Enormous Hail Index
EHJ, Egyptian Heart Journal
EHK, Emergency Health Kits
EHL, Extensor Hallucis Longus
EHM, Eastside Hockey Manager
EHN, End Hunger Now
EHO, Environmental Health Officer
EHP, USGS Earthquake Hazards Program
EHQ, Extended HeadQuarters
EHR, Erie &amp; Huron Railway
EHS, Extremely Hazardous Substance
EHT, Egg Harbor Township
EHU, European Humanities University
EHV, Extra High Voltage
EHW, Extreme Hardcore Wrestling
EHX, Experiment Dedicated Heat Exchanger
EHY, Extra High Yield
EHZ, Euskal Herria Zuzenean
EIA, Environmental Impact Assessment
EIB, European Installation Bus
EIC, Earned Income Credit
EID, Electronic Identification Device
EIE, Euskal Idazleen Elkartea
EIF, Eukaryotic Initiation Factor
EIG, Exponential Information Gathering
EIH, Einasleigh, Queensland, Australia
EII, Enterprise Information Integration
EIJ, Earth Island Journal
EIK, Eat In Kitchen
EIL, Esprit International Limited
EIM, Enterprise Incentive Management
EIN, Employer Identification Number
EIO, Enhanced Input Output
EIP, Enterprise Information Portal
EIQ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EIR, Environmental Impact Report
EIS, Environmental Impact Statement
EIT, Engineer In Training
EIU, Eastern Illinois University
EIV, External Iliac Vein
EIW, Early Interview Week
EIX, Edison International
EIY, Ein Yahav, Israel
EIZ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EJA, Environmental Journalism Academy
EJB, Enterprise Java Beans
EJC, European Journal of Cancer
EJD, Ernest John Donnelly
EJE, Elgin Joliet and Eastern Railway Company
EJF, Equal Justice Foundation
EJG, Education Journalist Group
EJH, Wedjh, Saudi Arabia
EJI, Equal Justice Initiative
EJJ, Extended Juvenile Jurisdiction
EJK, Electronic Jet Kit
EJL, Environmental Justice League
EJM, Executive Jet Management
EJN, Ethical Journalism Network
EJO, Engineering Job Order
EJP, Experience Japan Program
EJQ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EJR, East Jersey Railroad and Terminal
EJS, Easter Jeep Safari
EJT, Easton Jubilee Trust
EJU, Equal Justice University
EJV, Equity Joint Venture
EJW, Equal Justice Works
EJX, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EJY, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EJZ, Elbe Jeetzel Zeitung (German daily newspaper)
EKA, Ekajuk
EKB, EKibastuz, Kazakstan
EKC, E K Chor China Motorcycle Company
EKD, Evangelische Kirche in Deutschland
EKE, Encrypted Key Exchange
EKF, Extended Kalman Filter
EKG, Engineered Knit Garment
EKH, Erkende Keurbedrijven Hef
EKI, Electronic Kourseware International
EKJ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EKK, Elephant Kitkat Krew
EKL, Eastern Knights Lacrosse
EKM, Enterprise Knowledge Management
EKN, Elkins - Randolph County Jennings Randolph Field, Elkins, West Virginia USA
EKO, Every Known Optimization
EKP, Enterprise Knowledge Platform
EKQ, Wayne County Airport, Monticello, Kentucky USA
EKR, Eddie Knox Racing
EKS, Evil Kontractor Skum
EKT, Grupo Elektra S. A. de C. V.
EKU, Earliest Known Use
EKV, Exoatmospheric Kill Vehicle
EKW, Executive Knowledge Works
EKX, Addington Field, Elizabethtown/ Ft. Knox, Kentucky USA
EKY, Bessemer Airport, Bessemer, Alabama USA
EKZ, Elektrizit&auml;tswerke des Kantons Z&uuml;rich
ELA, English language arts
ELB, El Banco, Colombia
ELC, Early Learning Centre
ELD, English Language Development
ELE, Endesa, S. A.
ELF, Elf Aquitaine
ELG, El Golea, Algeria
ELH, Early Life History
ELI, Elixir
ELJ, El Recreo, Colombia
ELK, Elcor Corporation
ELL, English Language Learner
ELM, Electronic Library for Minnesota
ELN, Elan Corporation
ELO, Electric Light Orchestra
ELP, Emerson Lake and Palmer
ELQ, Gassim, Saudi Arabia
ELR, Emergency Locking Retractor
ELS, Electron energy Loss Spectroscopy
ELT, English Language Teaching
ELU, Environmental Load Units
ELV, End-of-Life Vehicle
ELW, Enhanced Land Warrior
ELX, Elamite
ELY, Callaway Golf Company
ELZ, Wellsville, New York USA
EMA, Emergency Management Agency
EMB, Embedded
EMC, Eisenhower Medical Center
EMD, Electro Motive Division
EME, Foreign &amp; Colonial Emerging Middle East Fund
EMF, Electromagnetic Field
EMG, ElectroMyoGraphy
EMH, Efficient Market Hypothesis
EMI, Electro-Magnetic Interference
EMJ, European Management Journal
EMK, ElektroMotor Kuvvet
EML, Ecological Metadata Language
EMM, Enterprise Marketing Management
EMN, Eastman Chemical Company
EMO, Electronic Money Order
EMP, Electro-Magnetic Pulse
EMQ, Evangelical Missions Quarterly
EMR, Electronic Medical Records
EMS, Emergency Medical Services
EMT, Emergency Medical Technician
EMU, Economic and Monetary Union
EMV, Europay Mastercard And Visa
EMW, East Meets West
EMX, E Mail Xtra
EMY, El Minya, Arab Republic of Egypt
EMZ, Enhanced Metafile Compressed
ENA, Extractable Nuclear Antigen
ENB, Environmental Notice Bulletin
ENC, Eisenhower National Clearinghouse
END, Exotic Newcastle Disease
ENE, East North East
ENF, Enontekio, Finland
ENG, English
ENH, Evanston Northwestern Healthcare
ENI, Enersis, S. A.
ENJ, El Naranjo, Guatemala
ENK, Enniskillen, Northern Ireland
ENL, Elsevier, N. V.
ENM, English, Middle (ca. 1100-1500)
ENN, Environmental News Network
ENO, Exhaled Nitric Oxide
ENP, Everglades National Park
ENQ, Enquiry
ENR, Electronic News Room
ENS, Environmental News Service
ENT, ENTerprise
ENU, English, United States
ENV, Envelope
ENW, Kenosha, Wisconsin USA
ENX, e-Neighborhoods Document
ENY, Eastern New York State
ENZ, Enzymes
EOA, Esophageal obturator airway
EOB, Explanation Of Benefits
EOC, Emergency Operations Center
EOD, Explosive Ordnance Disposal
EOE, Equal Opportunity Employer
EOF, End Of File
EOG, E O G Resources, Inc.
EOH, Equipment On Hand
EOI, Expression Of Interest
EOJ, End Of Job
EOK, Keokuk, Iowa USA
EOL, End Of Life
EOM, Equations Of Motion
EON, Everything Or Nothing
EOO, Every Other Odd
EOP, Equity Office Properties Trust
EOQ, Economic Order Quantity
EOR, End Of Record
EOS, Equation Of State
EOT, The End Of The ....
EOU, Export Oriented Units
EOV, End Of Volume
EOW, Engineering Order-Wire
EOX, Extraordinary Design
EOY, End Of Year
EOZ, Elorza, Venezuela
EPA, Environmental Protection Agency
EPB, Export Promotion Bureau
EPC, Electronic Product Code
EPD, Environmental Protection Department
EPE, Estimated Position Error
EPF, Ex Post Facto
EPG, Electronic Program Guide
EPH, Ephedrine Hydrochloride
EPI, Epinephrine
EPJ, European Physical Journal
EPK, Electronic Press Kit
EPL, English Premier League
EPM, Enterprise Project Management
EPN, El Paso Energy Partners, L. P.
EPO, ErythroPOietin
EPP, Enhanced Parallel Port
EPQ, Equilogical Projecting Quotient
EPR, Electron Paramagnetic Resonance
EPS, Earnings Per Share
EPT, Early Pregnancy Test
EPU, Emergency Power Unit
EPV, Exclusion Principle Violating
EPW, Enemy Prisoner of War
EPX, Eosinophil Protein X
EPY, Evolution Power Yoga
EPZ, Export Processing Zone
EQA, Environmental Quality Act
EQB, Environmental Quality Board
EQC, Evaluation and Qualification Criteria
EQD, English Query Domain
EQE, Exam Questions and Explanations
EQF, Equalizer Settings file (WinAmp)
EQG, Lexar Media, Inc. options
EQH, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EQI, Education Queensland International
EQJ, Einstiegsqualifizierung f&uuml;r Jugendliche
EQK, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EQL, Eastern Quake League
EQM, Exalted Queen Mother
EQN, Equation
EQO, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EQP, End Quantity Pricing
EQQ, Educator Quality and Quantity
EQR, Equity Residential Properties Trust
EQS, Equus II, Inc.
EQT, Equitable Resources, Inc.
EQU, Extremely Qualified User
EQV, Esse Quam Videri
EQW, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EQX, Chevrolet Equinox
EQY, Equity One, Inc.
EQZ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
ERA, Earned Run Average
ERB, Edgar Rice Burroughs
ERC, Esquerra Republicana de Catalunya
ERD, Entity Relationship Diagram
ERE, Erave, Papua New Guinea
ERF, Erfurt, Germany
ERG, Emergency Response Guide
ERH, Errachidia, Morocco
ERI, EarthRights International
ERJ, Entrepreneurship Research Journal
ERK, Extracellular Regulated Kinase
ERL, Environmental Research Laboratory
ERM, Exchange Rate Mechanism
ERN, Error Related Negativity
ERO, Electronic Return Originator
ERP, Enterprise Resource Planning
ERQ, Exercise Readiness Questionnaire
ERR, Error
ERS, Economic Research Service
ERT, Estrogen Replacement Therapy
ERU, Equivalent Residential Unit
ERV, Endogenous RetroVirus
ERW, ERWeitert
ERX, Data (ERWin)
ERY, Erythromycin
ERZ, Erzurum, Turkey
ESA, European Space Agency
ESB, Elias Sports Bureau
ESC, Escape
ESD, Electro-Static Discharge
ESE, Exceptional Student Education
ESF, European Social Fund
ESG, Executive Steering Group
ESH, Environment, Safety, and Health
ESI, electrospray Ionization
ESJ, Elementary School Journal
ESK, Eskisehir, Turkey
ESL, Spanish
ESM, Electronic Support Measures
ESN, Erasmus Student Network
ESO, Educaci&oacute;n Secundaria Obligatoria
ESP, Encapsulating Security Payload
ESQ, Esquire
ESR, Electron Spin Resonance
ESS, Employee Self-Service
EST, Estimated
ESU, English Speaking Union
ESV, English Standard Version
ESW, Equality South West
ESX, Elastic Sky X
ESY, Extended School Year
ESZ, Europejskiej Strategii Zatrudnienia
ETA, Estimated Time of Arrival
ETB, Ethiopian Birr
ETC, ET Cetera
ETD, Electronic Theses and Dissertations
ETE, End-To-End
ETF, Exchange Traded Funds
ETG, Ethylene Glycol
ETH, Ethan Allen Interiors, Inc.
ETI, Elapsed Time Indicator
ETJ, Extra Territorial Jurisdiction
ETK, Elite Thai Kickboxing
ETL, Extract, Transform, Load
ETM, Enter The Matrix
ETN, Eaton Corporation
ETO, European Theater of Operations
ETP, Employment Training Panel
ETQ, Excellence Through Quality
ETR, Entergy Corporation
ETS, Educational Testing Service
ETT, EndoTracheal Tube
ETU, Electronic Trip Unit
ETV, Educational Television
ETW, End Time Warriors
ETX, End of Text
ETY, European Tree of the Year
ETZ, ETZ Lavud, LTD.
EUA, Examination Under Anesthesia
EUB, Alberta Energy and Utilities Board
EUC, Extended Unix Code
EUD, End User Development
EUE, External Upset Ends
EUF, Environmental User Fee
EUG, Eugene, Oregon USA
EUH, Emory University Hospital
EUI, End User Interface
EUJ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EUK, Essex, United Kingdom
EUL, End User Layer
EUM, Merrill Lynch &amp; Company, Inc.
EUN, Laayoune, Morocco
EUO, Examination Under Oath
EUP, Edinburgh University Press
EUQ, End User Quarantine
EUR, European
EUS, Basque
EUT, Equipment Under Test
EUU, End User Update
EUV, Extreme Ultra-Violet
EUW, End-User Workstation
EUX, St. Eustatius, Netherlands Antilles
EUY, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EUZ, Estimated Umpire Zone
EVA, Economic Value Added
EVB, Embedded Visual Basic
EVC, Executive Vice Chancellor
EVD, Enhanced Versatile Disc
EVE, Evening
EVF, Eaton Vance Senior Income Trust
EVG, Sveg, Sweden
EVH, Eddie Van Halen
EVI, Electronic Valve Instrument
EVJ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EVK, Eric V Kennedy
EVL, Electronic Visualization Laboratory
EVM, Earned Value Management
EVN, Eaton Vance Municipal Income Trust
EVO, Extra Virgin Olive
EVP, Executive Vice President
EVQ, Electric Vehicle Quick Charging
EVR, Electronic Video Recording
EVS, European Voluntary Service
EVT, Event log
EVU, City of Maryville Airport, Maryville, Missouri USA
EVV, Environmental Safeguards, Inc.
EVW, Evanston, Wyoming USA
EVX, Evreux, France
EVY, Document (WordPerfect Envoy)
EVZ, Electric Vehicle Zone
EWA, Extreme Wrestling Alliance
EWB, E. W. Blanch Holdings, Inc.
EWC, Emma Watson Connection
EWD, Document (Express Publisher for Windows)
EWE, Ewe
EWF, Extreme Wrestling Federation
EWG, EXFOR Working Group
EWH, Electric Water Heater
EWI, Electronic Wind Instrument
EWJ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EWK, Newton, Kansas USA
EWL, Enlightened Widget Library
EWM, Equine World Management
EWN, New Bern, North Carolina USA
EWO, Ewondo
EWP, Enterprise Work Practices
EWQ, Exceptionally Well Qualified
EWR, Extreme Warfare Revenge
EWS, Early Warning System
EWT, Extended Working Time
EWU, Eastern Washington University
EWV, European Web Version
EWW, Extreme World Wrestling
EWX, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EWY, Ever Winning Yankees
EWZ, Eingetragenes WarenZeichen
EXA, Evolution X Art
EXB, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EXC, Excellent
EXD, Ethyl Xanthogen Disulfide
EXE, Directly executable program (MSDOS)
EXF, Euskal Xake Federakuntza
EXG, Enron Corporation (delisted)
EXH, EXHaust
EXI, EXecute Invalid Operation
EXJ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EXK, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EXL, Envoy Xl
EXM, Excel Maritime Carriers, LTD.
EXN, Elettrica X Nastri
EXO, Exoatmospheric
EXP, Explain
EXQ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EXR, Elixir Petroleum Ltd
EXS, Excess
EXT, External
EXU, Euphoria Source Code
EXV, Executive Version
EXW, Ex Works
EXX, Intermediate file by MsgPut (IBM LinkWay)
EXY, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EXZ, Excessive Zeros
EYA, European Youth Award
EYB, Elmhurst Youth Baseball
EYC, Express Yourself Clearly
EYD, Every Youngster Dies
EYE, Episcopal Youth Event
EYF, Elongated Yellow Fruit
EYG, Elevate Your Game
EYH, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYI, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYJ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYK, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYL, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYM, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYN, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYO, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYP, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYQ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYR, Yerington, Nevada USA
EYS, Eliye Springs, Kenya
EYT, Enjoy Yourself Tonight
EYU, Eat You Up
EYV, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYW, Key West, Florida USA
EYX, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYY, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EYZ, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EZA, Extraterritorial Zoning And Annexation
EZB, Europ&auml;ische ZentralBank
EZC, Empowerment Zone Coalition
EZD, Emerging Zoonotic Diseases
EZE, Northwood University Strosacker Library, Midland, Michigan Library code
EZF, Fax (Calculus EZ-Fax)
EZG, Elektro Zentrum Grossenhain
EZH, Enhancer Of Zeste Homolog
EZI, Egon Zehnder International
EZJ, Easy Job
EZK, Elektronische Zundung Klopfregelung
EZL, Easy Log
EZM, Engagement Zone Manager
EZN, Elektroniczne Zakłady Naukowe
EZO, Encounter Zero One
EZP, Evidence Zdravotnick&yacute;ch Pracovn&iacute;ků
EZQ, Electronic Arts, Inc. options
EZR, Easyriders, Inc.
EZS, Elazig, Turkey
EZT, Extra Zestie Toejam
EZU, Elektrotechnicky Zkusebni Ustav
EZV, Not Found!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
EZW, Embedded Zero-tree Wavelet
EZX, Easy Forms
EZY, Easyjet
EZZ, Cameron Memorial Airport, Cameron, Missouri USA
